sampleID,IGSN,core,depth,enzyme,temperature,substrate_conc,activity
N/A,N/A,N/A,cm,N/A,degreeCelsius,micromolar,nmol/g_dry_soil/h
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,130,4038.050877
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,80,2583.809631
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,80,2917.128186
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,80,3201.889645
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,80,2817.651419
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,40,1751.530413
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,40,1898.009953
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,40,2060.900858
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,40,1936.46279
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,10,655.528188
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,10,706.2314044
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,10,695.3050789
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,10,709.7660534
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,1200,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,1200,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,1200,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,1200,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,700,7067.664001
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,700,7181.413728
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,700,9869.637614
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,700,9143.889323
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,350,7139.390603
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,350,7723.973416
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,350,8280.383958
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,350,8100.839447
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,200,7197.24637
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,200,7944.488931
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,200,7330.10016
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,200,6834.372225
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,130,6052.54734
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,130,6405.403225
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,130,6340.596192
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,130,6009.194363
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,80,5220.922749
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,80,4978.561787
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,80,5398.783308
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,80,5183.169542
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,40,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,40,3592.435331
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,40,3559.638473
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,40,3599.030392
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,10,1287.022233
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,10,1274.480558
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,10,1196.553776
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,10,1230.117209
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,800,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,800,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,800,-9999
