Year,Block,Treatment,Litter Addn,Horiozn,Lysimeter,depth,increment,gwc_2mm,m_soil,m_co_rt,m_fi_rt,m_rt,C13_soil,C13_co_rt,C13_fi_rt,F_soil,F_co_rt,F_fi_rt,C_soil,C_co_rt,C_fi_rt,Fc_soil,Fc_rt,x_soil,x_coroot,x_firoot,g_C_soil,g_C_co_rt,g_C_fi_rt,g_C_added to A or B
2015,1,Control,A horizon,A,9,07-14cm,7,0.09,283.36,0.254,0.038,0.292,-23.98761868,-8.81,-27.2,0.010794322,0.01096,0.01076,0.022,0.36,0.45,0.01075,0.010653333,0.000979492,0.006762717,0.002352249,6.15,0.09144,0.0171,0.056949
2015,1,Control,A horizon,A,9,14-20cm,6,0.053,324.52,0.089,0.085,0.175,-27.83739308,-28.6,-28.15,0.010752203,0.01074,0.01075,0.011,0.44,0.35,0.0107575,0.010653333,-0.00011708,0.001911203,0.002131726,3.65,0.03916,0.02975,0.056949
2014,1,Control,A horizon,A,9,05-10cm,5,0.0173,219.24,0.037,0.03108365,0.0681,,131.7820496,80.47989593,,0.012558343,0.011995919,0.022297553,0.38968259,0.40041141,0.010803234,0.01080029,,0.038895227,0.265398141,4.88851552,0.014418256,0.012446248,0.056949
2014,1,Control,A horizon,A,9,10-15cm,5,0.0155,207.08,0.0252,0.024508967,0.0497,-27.98295851,9.374326303,104.300657,0.010804733,0.011215331,0.012257145,0.022336442,0.38134581,0.38832194,0.010803581,0.01080029,2.55E-05,0.009182382,0.2706136,4.625430409,0.009609914,0.00951737,0.056949
2014,1,Control,A horizon,A,9,15-20cm,5,-0.1336,273.48,0.0522,0.021972568,,-27.89179911,-25.90413142,-25.61617033,0.010805735,0.01082759,0.010830756,0.012484071,0.33146094,0.38516806,0.010806864,0.01080029,0,0.000603986,0.239620033,3.414143737,0.017302261,0.008463131,0.056949
2015,1,Control,B horizon,B,10,35-45cm,10,0.035,458.31,0.113,0.072,0.185,-21.4,-20.89,30.52,0.01082,0.01083,0.01139,0.007,0.37,0.43,0.010765,0.01064875,0.001215873,0.003996582,0.016344643,2.98,0.04181,0.03096,0.056949
2014,1,Control,B horizon,B,10,35-40cm,10,0.0135,303.52,0.0612,0.0202,0.0814,-24.10079882,-24.99799869,-4.297944108,0.010847418,0.010837553,0.011065097,0.007610654,0.32187122,0.39005906,0.01081539,0.01080029,0.000708825,0.000824408,0.229122523,2.309985702,0.019698519,0.007879193,0.056949
2014,1,Control,B horizon,B,10,40-45cm,0,,,,,,,,,,,,,,,0.010815835,0.01080029,,,,,,,
2015,1,Unplanted,B horizon,B,21,35-45cm,10,0.105,516.77,0,0.008,0.008,-11.79543288,,104.81,0.01092769,,0.0122,0.004,,0.33,0.01076,0.01064875,0.003706676,0,0.034205231,2.24,0,0.00264,0.056949
2014,1,Unplanted,B horizon,B,21,35-40cm,5,0.0134,296.16,NaN,0.003182805,,-17.18100065,,182.4040408,0.010923493,,0.013112684,0.004385884,,0.26513806,0.010817306,NaN,0.00235017,,,1.298923405,,0.000843883,0.056949
2014,1,Unplanted,B horizon,B,21,40-45cm,5,0.0114,249.92,NaN,0.0021,,-15.05903935,,60.83138628,0.010946819,,0.011780344,0.004104807,,0.26704391,0.010816486,NaN,0.002884526,,,1.025873365,,0.000560792,0.056949
2015,2,Control,A horizon,A,24,07-14cm,7,0.075,354.93,0.055,0.028,0.084,-14.10397714,-15.84,1.7,0.01090244,0.01088,0.01108,0.009,0.4,0.52,0.01075,0.010653333,0.00336884,0.00499853,0.009408997,3.17,0.022,0.01456,0.056949
2015,2,Control,A horizon,A,24,14-20cm,6,0.066,351.9,0.038,0.032,0.07,-26.14142767,-28.19,-27.8,0.010770759,0.01075,0.01075,0.006,0.44,0.53,0.0107575,0.010653333,0.000293065,0.002131726,0.002131726,2.27,0.01672,0.01696,0.056949
2014,2,Control,A horizon,A,24,05-10cm,5,0.0107,245.56,0.026,0.008643712,0.0346,-28.25542676,-23.99089982,64.8560116,0.010801737,0.010848626,0.011824508,0.011766122,0.397841141,0.360098719,0.010803234,0.01080029,-3.31E-05,0.001069387,0.262338626,2.889288918,0.01034387,0.00311259,0.056949
2014,2,Control,A horizon,A,24,10-15cm,5,0.0137,274.21,0.0251,0.026610932,0.0517,-18.46491738,-14.98252515,-25.95296381,0.010909379,0.01094766,0.010827053,0.010254914,0.410722787,0.459585827,0.010803581,0.01080029,0.002340849,0.003260419,0.187749077,2.811999968,0.010309142,0.012230007,0.056949
2014,2,Control,A horizon,A,24,15-20cm,5,0.0125,265.28,0.0219,0.020638409,,-21.48380992,25.18557456,-27.79642416,0.01087619,0.011389011,0.010806784,0.008623176,0.411607195,0.37773062,0.010806864,0.01080029,0.001533994,0.013024884,0.205151537,2.287556129,0.009014198,0.007795759,0.056949
2015,2,Control,B horizon,B,26,35-45cm,10,0.038,482.22,0.151,0.096,0.246,-13.39207628,47.43,82.58,0.010910227,0.01158,0.01196,0.007,0.33,0.34,0.01076,0.01064875,0.003320668,0.020534164,0.028913205,3.51,0.04983,0.03264,0.056949
