,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Incubation Experimemt Conditions and results, supporting Fig 4a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Summary of BH Samples,,,,,,,,Summary of TT05 Samples,,,,,,,,,Summary of TT02 Samples,,,,,,,,Summary of TT03 Samples,,,,,,,,,,,,,
,Non-Sterilized samples,,,,,,,,Non-Sterilized samples,,,,,,,,,Non-Sterilized samples,,,,,,,,Non-Sterilized samples,,,,,,,,,,,,,
,BH samples,,,,Summer_2,,,,TT05 samples,,,,,Summer_2,,,,TT02 samples,,,,,,,,TT03 samples,,,,,,,,,,,,,
,Summer,"Depth, m",µgC-CO2/g soil/day,R (n=4),µgC-CO2/g soil/day,R (n=3),Note,,Summer,,µgC-CO2/g soil/day,,R (n=4),µgC-CO2/g soil/day,R (n=3),Note,,Summer,,µgC-CO2/g soil/day,R (n=4),µgC-CO2/g soil/day,R (n=3),Note,,Summer,,µgC-CO2/g soil/day,R (n=4),µgC-CO2/g soil/day,,,,,,,,,
,BH-VZ1-21˚C,,1523,48,,,,,5-VZ1-21˚C,,1019,,68,,,,,,,,,,,,,,,,,,TT02,-1.5,36.67552919,42.23778407,21.08668674,63.32447081,,,
,BH-VZ2-21˚C,,1278,19,,,,,5-VZ2-21˚C,,1193,,73,,,,,,,,,,,,,,,,,,TT02,-2.5,46.96797064,34.77757588,18.25445348,53.03202936,,,
,BH-WT-17˚C,,823,20,,,,,5-WT-17˚C,,1794,,77,,,,,,,,,,,,,,,,,,TT02,-3.5,49.76874374,31.97525529,18.25600098,50.23125626,,,
,BH-GW-17˚C,,678,34,,,,,5-GW-17˚C,,2226,,181,,,,,,,,,,,,,,,,,,TT02,-4.5,48.10626691,31.28433245,20.60940064,51.89373309,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT02,-5.5,74.64173836,17.59924027,7.759021374,25.35826164,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT02,-6.5,81.29418775,12.04353406,6.66227819,18.70581225,,,
,Fall,,"Equlibrium CO2, ppm",Stdev,,,,,Fall,,"Equlibrium CO2, ppm",,Stdev,,,,,,,,,,,,,,,,,,TT02,-7.5,74.62060425,15.40546717,9.973928582,25.37939575,,,
,BH-SF-10˚C,,372,51,,,,,5-SF-10˚C,,473,,67,,,,,,,,,,,,,,,,,,TT02,-8.5,75.31115814,15.49762582,9.191216039,24.68884186,,,
,BH-VZ1-12˚C,,559,19,,,,,5-VZ1-12˚C,,484,,10,,,,,,,,,,,,,,,,,,TT02,-9.5,85.98618702,11.70863519,2.305177792,14.01381298,,,
,BH-VZ2-12˚C,,437,53,,,,,5-VZ2-12˚C,,625,,21,,,,,,,,,,,,,,,,,,TT02,-10.5,89.56204263,9.903081872,0.534875501,10.43795737,,,
,BH-WT-14˚C,,462,31,,,,,5-WT-14˚C,,881,,37,,,,,,,,,,,,,,,,,,TT02,-11.3,86.60760316,11.08721905,2.305177792,13.39239684,,,
,BH-GW-14˚C,,405,17,,,,,5-GW-14˚C,,1358,,53,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT03,-0.5,46.61884167,31.80911614,21.57204219,53.38115833,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT03,-1.5,50.84963515,30.7300821,18.42028276,49.15036485,,,
,Winter,,"Equlibrium CO2, ppm",Stdev,,,,,Winter,,"Equlibrium CO2, ppm",,Stdev,,,,,,,,,,,,,,,,,,TT03,-2.5,45.32029945,42.92647837,11.75322218,54.67970055,,,
,BH-SF-3˚C,,308,33,,,,,5-SF-3˚C,,405,,36,,,,,,,,,,,,,,,,,,TT03,-3.5,51.2748818,30.78536019,17.93975801,48.7251182,,,
,BH-VZ1-7˚C,,342,30,,,,,5-VZ1-7˚C,,452,,20,,,,,,,,,,,,,,,,,,TT03,-4.5,49.00186762,33.51207212,17.48606026,50.99813238,,,
,BH-VZ2-7˚C,,372,13,,,,,5-VZ2-7˚C,,404,,35,,,,,,,,,,,,,,,,,,TT03,-5.5,53.92805705,30.96543677,15.10650618,46.07194295,,,
,BH-WT-10˚C,,310,56,,,,,5-WT-10˚C,,537,,39,,,,,,,,,,,,,,,,,,TT03,-6.5,81.38150449,15.03048222,3.588013285,18.61849551,,,
,BH-GW-10˚C,,320,40,,,,,5-GW-10˚C,,1189,,235,,,,,,,,,,,,,,,,,,TT03,-7.5,89.26037106,9.048254589,1.691374347,10.73962894,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT03,-8.5,86.34022706,7.969781788,5.689991149,13.65977294,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT03,-9.5,86.93710574,6.265073872,6.797820389,13.06289426,,,
