date,,PH_discharge_ISPOC,,
2/24/16 12:00,2/24,0.323778626,,
2/25/16 12:00,2/25,0.3366118,,
2/26/16 12:00,2/26,0.3366118,,
2/27/16 12:00,2/27,0.3366118,,
2/28/16 12:00,2/28,0.349444973,,
2/29/16 12:00,3/1,0.349444973,,
3/1/16 12:00,3/1,0.387944495,,
3/2/16 12:00,3/2,0.394361082,,
3/3/16 12:00,3/3,0.362278147,,
3/4/16 12:00,3/4,0.381527908,,
3/5/16 12:00,3/5,0.413610842,,
3/6/16 12:00,3/6,0.484193298,,
3/7/16 12:00,3/7,0.45852695,,
3/8/16 12:00,3/8,0.407194255,,
3/9/16 12:00,3/9,0.387944495,,
3/10/16 12:00,3/10,0.420027429,,
3/11/16 12:00,3/11,0.484193298,,
3/12/16 12:00,3/12,0.535525993,,
3/13/16 12:00,3/13,0.522692819,,
3/14/16 12:00,3/14,0.548359167,,
3/15/16 12:00,3/15,0.503443059,,
3/16/16 12:00,3/16,0.464943537,,
3/17/16 12:00,3/17,0.529109406,,
3/18/16 12:00,3/18,0.471360124,,
3/19/16 12:00,3/19,0.420027429,,
3/20/16 12:00,3/20,0.420027429,,
3/21/16 12:00,3/21,0.490609885,,
3/22/16 12:00,3/22,0.522692819,,
3/23/16 12:00,3/23,0.484193298,,
3/24/16 12:00,3/24,0.471360124,,
3/25/16 12:00,3/25,0.484193298,,
3/26/16 12:00,3/26,0.45852695,,
3/27/16 12:00,3/27,0.407194255,,
3/28/16 12:00,3/28,0.464943537,,
3/29/16 12:00,3/29,0.490609885,,
3/30/16 12:00,3/30,0.452110364,,
3/31/16 12:00,3/31,0.426444016,,
4/1/16 12:00,4/1,0.407194255,,
4/2/16 12:00,4/2,0.432860603,,
4/3/16 12:00,4/3,0.477776711,,
4/4/16 12:00,4/4,0.554775754,,
4/5/16 12:00,4/5,0.610061601,,
4/6/16 12:00,4/6,0.665347449,,
4/7/16 12:00,4/7,0.720633297,,
4/8/16 12:00,4/8,0.775919145,,
4/9/16 12:00,4/9,0.831204992,,
4/10/16 12:00,4/10,0.88649084,,
4/11/16 12:00,4/11,1.397906095,,
4/12/16 12:00,4/12,1.965504935,,
4/13/16 12:00,4/13,2.335211728,,
4/14/16 12:00,4/14,2.448814349,,
4/15/16 12:00,4/15,2.266910468,,
4/16/16 12:00,4/16,1.95581048,,
4/17/16 12:00,4/17,1.713026466,,
4/18/16 12:00,4/18,1.57638931,,
4/19/16 12:00,4/19,1.489730733,,
4/20/16 12:00,4/20,1.461681127,,
4/21/16 12:00,4/21,1.5850475,,
4/22/16 12:00,4/22,1.790729902,,
4/23/16 12:00,4/23,2.11925388,,
4/24/16 12:00,4/24,2.047863444,,
4/25/16 12:00,4/25,2.002996145,,
4/26/16 12:00,4/26,1.974030764,,
4/27/16 12:00,4/27,1.890573423,,
4/28/16 12:00,4/28,1.849145451,,
4/29/16 12:00,4/29,1.759688599,,
4/30/16 12:00,4/30,1.671633657,,
5/1/16 12:00,5/1,1.591542123,,
5/2/16 12:00,5/2,1.607759037,,
5/3/16 12:00,5/3,1.796971861,,
5/4/16 12:00,5/4,2.154856613,,
5/5/16 12:00,5/5,2.795153274,,
5/6/16 12:00,5/6,3.380376164,,
5/7/16 12:00,5/7,3.279722636,,
5/8/16 12:00,5/8,2.920306886,,
5/9/16 12:00,5/9,2.860989484,,
5/10/16 12:00,5/10,3.14932061,,
5/11/16 12:00,5/11,2.80963142,,
5/12/16 12:00,5/12,2.796939893,,
5/13/16 12:00,5/13,3.235012237,,
5/14/16 12:00,5/14,4.050963489,,
5/15/16 12:00,5/15,5.118176959,,
5/16/16 12:00,5/16,4.793661561,,
