SampleSiteCode,FieldPointName,Northing,Easting,Elevation,Code,EPSG,,,
086-ER18,L086-WILLOW,4310628.066,328545.877,3144.032,CP-PLOT,26913,,,
087-ER18,L087,4310617.539,328598.739,3138.133,CP-PLOT,26913,,,
088-ER18,L088-WILLOW,4310505.343,328549.352,3139.545,CP-PLOT,26913,,,
089-ER18,L-089-WILLOW,4310569.132,328950.85,3044.046,CP-PLOT,26913,,,
090-ER18,L-090-WILLOW,4310577.941,328943.32,3044.43,CP-PLOT,26913,,,
091-ER18,L-091-WILLOW,4310633.881,328969.184,3031.788,CP-PLOT,26913,,,
092-ER18,L-092,4310659.972,328964.085,3031.199,CP-PLOT,26913,,,
093-ER18,L-093-SHORT-WILLOW,4310689.93,328940.371,3032.853,CP-PLOT,26913,,,
094-ER18,L-094,4310653.389,328912.883,3048.356,CP-PLOT,26913,,,
095-ER18,TR-095,4310601.428,328375.337,3162.479,CP-PLOT,26913,,,
096-ER18,TR-096,4310564.925,328310.934,3186.08,CP-PLOT,26913,,,
097-ER18,TR-097,4310630.266,328349.686,3170.893,CP-PLOT,26913,,,
098-ER18,TR-098,4310616.393,328338.868,3173.371,CP-PLOT,26913,,,
099-ER18,TR-099-LODGEPOLES,4310638.751,328866.899,3071.538,CP-PLOT,26913,,,
100-ER18,TR-100-LODGEPOLES,4310582.463,328870.397,3079.354,CP-PLOT,26913,,,
101-ER18,TR-101-LODGEPOLES,4310586.421,328865.834,3083.223,CP-PLOT,26913,,,
102-ER18,TR-102-ASPEN,4310588.091,328932.446,3046.871,CP-PLOT,26913,,,
103-ER18,TR-103-ASPEN,4310562.315,328980.519,3037.933,CP-PLOT,26913,,,
104-ER18,L-104-WILLOW,4317256.153,326305.624,2954.746,CP-PLOT,26913,,,
105-ER18,L-105-WILLOW,4317228.934,326314.46,2953.506,CP-PLOT,26913,,,
106-ER18,L-106-WILLOW,4317229.147,326349.046,2952.692,CP-PLOT,26913,,,
107-ER18,L-107-WILLOW,4317196.134,326368.247,2951.104,CP-PLOT,26913,,,
108-ER18,L-108-WILLOW,4317174.77,326369.163,2949.885,CP-PLOT,26913,,,
109-ER18,L-109-WILLOW,4317137.249,326351.535,2943.731,CP-PLOT,26913,,,
110-ER18,L-110-WILLOW,4317069.321,326346.972,2939.211,CP-PLOT,26913,,,
111-ER18,L-111-WILLOW,4317075.461,326348.717,2940.08,CP-PLOT,26913,,,
112-ER18,L-112-POTENTILLA,4317164.105,326301.647,2954.066,CP-PLOT,26913,,,
113-ER18,L-113-POTENTILLA,4317182.936,326309.96,2953.763,CP-PLOT,26913,,,
114-ER18,TR-114,4317278.85,326431.982,2969.103,CP-PLOT,26913,,,
115-ER18,TR-115,4317286.067,326440.71,2967.894,CP-PLOT,26913,,,
116-ER18,TR-116,4317413.581,326303.154,2968.351,CP-PLOT,26913,,,
117-ER18,TR-117,4317405.799,326295.445,2967.163,CP-PLOT,26913,,,
118-ER18,TR-118-ASPEN,4317497.988,326215.736,2973.11,CP-PLOT,26913,,,
119-ER18,TR-119,4317503.869,326206.983,2965.288,CP-PLOT,26913,,,
120-ER18,TR-120,4316745.565,325998.525,2964.418,CP-PLOT,26913,,,
121-ER18,TR-121,4316737.874,325954.043,2980.353,CP-PLOT,26913,,,
122-ER18,TR-122,4316775.552,325886.809,2996.17,CP-PLOT,26913,,,
123-ER18,TR-123,4316816.199,325881.741,2998.312,CP-PLOT,26913,,,
124-ER18,TR-124,4311944.672,325653.101,3020.919,CP-PLOT,26913,,,
125-ER18,TR-125,4311929.594,325660.025,3016.775,CP-PLOT,26913,,,
126-ER18,TR-126,4311936.039,325585.719,3015.41,CP-PLOT,26913,,,
127-ER18,TR-127,4311925.014,325566.502,3010.613,CP-PLOT,26913,,,
128-ER18,TR-128,4312025.22,325475.506,3017.244,CP-PLOT,26913,,,
129-ER18,TR-129,4312009.781,325468.835,3013.854,CP-PLOT,26913,,,
130-ER18,TR-130,4311743.696,325488.843,2972.269,CP-PLOT,26913,,,
