date.m,Almont,Billy_Barr,Castnet,Judd_Falls,KCOCREST10,KCOCREST4,KCOCREST6,KCOMTCRE2,Kettle_Ponds,Mexican_Cut,MRMEX,MTAPC2,NRCS_1141,NRCS_380,NRCS_680,NRCS_737,Snodgrass
mm-YY,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month
Apr-85,97.62160957,89.69787197,89.68939239,90.10663885,91.54160899,94.10723162,91.73345922,92.84788266,88.53104143,87.84494013,91.34467471,88.84592944,84.1555395,91.06826921,91.3707544,89.47012478,93.15848501
May-85,135.7759376,125.1309417,125.1177943,125.6334931,131.6346405,134.74536,129.9246455,131.3790182,124.0181722,120.8466007,125.0698811,127.9380726,117.5447041,129.1943704,131.6030759,123.0368841,130.7867437
Jun-85,155.0556266,147.005804,146.991023,147.5120462,152.2293339,155.3481748,152.0347668,152.755776,145.9418264,142.2044415,146.6093808,148.4129466,139.9085071,150.5651571,151.5303287,144.5724156,152.4615332
Jul-85,153.1616021,147.5966383,147.5790667,148.2279444,150.9899399,154.90285,152.2454846,152.9840635,146.1844622,143.7023006,148.631179,149.8189916,140.8142653,150.2239783,152.2302411,146.2809563,153.1290977
Aug-85,165.2156973,154.7391736,154.7326878,155.0761228,160.9947627,162.8677289,159.9972175,160.5616973,153.4933786,149.0026584,153.9803668,155.7542201,147.1323216,159.2026704,158.0656662,151.2446769,159.9404559
Sep-85,112.2522955,100.6287504,100.6247698,100.9518208,105.1177608,106.9833477,104.3166919,105.1187365,99.76033636,96.74995211,100.6407872,103.4957848,96.10844951,103.8008106,106.3352899,98.24475805,104.5730898
Oct-85,73.28946214,66.9988267,66.99896717,67.24641312,69.99657241,71.3610663,69.26824016,70.13656039,66.20319344,64.08683611,66.92357838,67.05105679,63.0111449,69.16439167,68.57252166,65.44350805,69.94836626
Nov-85,45.74522478,36.19817346,36.19949091,36.31403291,42.02778098,42.64428319,39.13409729,41.69734561,34.14090614,31.98646686,34.76138582,40.79877961,30.78431028,41.27315853,42.17381223,32.65637556,40.47446306
Dec-85,27.95317331,24.43160372,24.43478716,24.49856624,26.85127942,27.21674298,25.6976659,26.60414514,23.61486482,23.32068977,24.58348404,25.19730683,20.98625335,26.35871731,25.48594939,23.49659558,26.35243411
Jan-86,38.96661178,36.43878945,36.44292789,36.49513701,32.09699077,32.41068769,34.63198201,35.92873556,35.38862942,34.87495122,37.2210156,33.37556491,31.83134847,35.74535487,32.91908223,35.43422878,37.12627486
Feb-86,43.08213902,35.77444617,35.77448916,35.91853395,37.81028052,38.57619043,37.5873766,39.31028017,34.39660704,32.43922188,36.00200646,37.97206762,30.37697734,38.76452134,37.58274925,33.66624011,38.84513357
Mar-86,79.84219124,70.5632396,70.56067622,70.83269768,69.94474358,71.58301794,72.02924391,73.12512995,67.96119965,67.6947521,73.01062681,67.59601256,61.95945502,71.99774502,68.93146985,68.78749807,73.61045805
Apr-86,100.1854401,91.59663165,91.58843341,91.98863155,92.30540664,94.76455221,92.92390886,94.44287398,89.88740252,89.86281795,94.37411476,88.48063937,82.79387597,92.7406266,90.01201852,91.14631046,95.30040409
May-86,131.8489809,121.5888253,121.5753148,122.1039921,127.6490782,130.8451087,126.0892127,126.9889867,119.6470476,117.9924334,122.962501,122.31957,110.8221198,124.7396061,126.2752765,120.2968142,127.0068228
Jun-86,153.4563861,144.8632129,144.8474682,145.4035465,151.2221491,154.5176825,150.7999793,151.3184438,143.8585401,139.7345277,144.477378,143.7243558,134.1147658,148.9868252,146.7762955,142.0629298,150.9642248
Jul-86,168.7803576,154.8165832,154.8027365,155.3151171,164.1189591,167.0174298,162.2752399,163.2084496,153.4794652,147.6977282,153.2945217,157.9789479,141.0889964,161.1250925,162.3003031,150.2870132,161.9346531
Aug-86,148.4135253,139.1882737,139.1777015,139.6757272,145.468504,148.3195621,145.4276329,145.9208863,138.1728826,133.779428,138.8587009,140.4222001,130.1592594,143.8757147,143.7305224,136.2590449,145.3795791
Sep-86,116.8856028,101.3361957,101.3321932,101.6447815,108.2978237,110.0475609,106.8636748,107.4666927,99.93940016,95.76236289,100.2671276,108.7723963,94.57170933,106.2134341,113.1327935,97.53537959,106.2730791
Oct-86,60.49267088,55.94717509,55.9454437,56.27007269,59.0824692,60.98268431,59.0330889,59.47727565,55.5904175,53.52199132,56.01776784,56.54319112,52.33468152,58.12901578,58.08182858,54.78123323,59.24946368
Nov-86,39.40504388,34.90740545,34.90919859,35.04918397,36.52633191,37.36787153,35.58342442,36.60852994,33.53565306,33.9093896,35.43952409,37.03641713,31.11287782,36.0359668,37.60416023,34.79859428,36.53274572
Dec-86,20.64366423,19.42381497,19.4267265,19.54112296,19.06446185,19.73205119,19.34347767,19.90876423,19.07357989,18.82096756,19.91889253,19.74174975,17.38553996,19.44957751,20.05752327,19.35067318,20.13756914
Jan-87,24.69968201,21.98420525,21.98620256,22.09146749,22.23530598,22.81000332,21.96974075,22.99823226,20.96932397,21.61782687,23.12202892,21.76489297,18.93536019,22.59198032,20.95800951,22.14546444,23.18500719
Feb-87,30.63338224,28.16693092,28.16624766,28.38257029,28.50425214,29.78553344,29.21011089,29.49201438,27.76688548,27.93115964,29.47420929,28.2658413,26.3597301,28.59327593,28.18090827,28.62076902,29.7469556
Mar-87,61.76546861,56.05965584,56.05553464,56.3729655,55.82665289,57.74189242,57.15092798,57.90004714,54.39966426,55.41425973,57.96255025,55.95020726,50.63412588,56.55528542,55.94107775,56.3551294,58.06273743
Apr-87,96.78753253,90.65740638,90.64846933,91.09503273,91.62901041,94.33625409,92.54975858,93.30454828,89.49726294,89.5468587,93.45194204,87.20890383,83.1962407,91.40727941,88.26712019,91.05440182,94.00269623
May-87,127.5419516,119.080557,119.0652609,119.6611606,123.6979405,127.326546,123.2688045,123.465287,117.0208816,117.1081356,121.5114851,121.7379756,109.5657507,120.9140905,125.4901411,119.1843025,123.6802763
Jun-87,152.5805792,144.7520561,144.7365336,145.2842127,150.5527439,153.8190943,150.242072,151.2698763,143.6607836,139.6497299,144.1918631,146.820643,136.2977643,148.9899466,150.3855577,141.9653826,150.7285081
Jul-87,183.9690341,168.8312063,168.8200568,169.2340518,179.1437642,181.3291914,177.4635248,178.8340213,167.8356664,159.4462674,165.3847268,176.0931878,157.5735185,177.2478839,180.8254605,161.9032362,177.4523142
Aug-87,146.6587952,136.2564511,136.2458269,136.7411266,143.7582699,146.5664391,142.7489481,143.3854852,135.1451301,130.9828082,136.010524,138.6120336,127.5776313,141.3579973,141.9775572,133.3159831,142.3082027
Sep-87,106.691931,99.16787996,99.16386046,99.52297946,104.9133529,106.8887548,103.7944902,104.9270755,98.44512857,93.71709886,97.60154538,101.9377018,92.5248282,103.5090258,104.7047196,95.42377452,104.3210115
Oct-87,76.89152766,69.95175768,69.95275423,70.18661873,74.13498331,75.38692414,73.52023753,74.21940516,69.31607384,65.66180982,69.11630617,71.16594751,65.66803566,73.31868564,73.31507515,66.94271935,73.72151214
Nov-87,37.50495724,34.80853863,34.81010035,34.98284031,36.10689769,37.08689676,35.82888529,36.6830844,34.10385354,33.19088337,34.9318854,35.14001101,31.94530429,35.99328974,35.70576242,34.08258411,36.75121213
Dec-87,22.70058524,19.55936665,19.5613148,19.66425086,22.38825598,22.93976376,20.67204281,21.92567826,18.25463885,18.22853112,19.93301848,23.04271178,16.79794095,21.53020402,23.51339146,18.85031612,21.30776588
Jan-88,26.52295542,24.41916892,24.42105747,24.49953477,25.82950337,26.27638122,24.93313265,26.67458545,23.07739375,22.8251789,24.88613318,25.52373394,20.71890327,26.37541703,24.67866824,23.20975314,26.2112351
Feb-88,38.85274827,37.2585328,37.25898065,37.40924563,35.68929655,36.56903811,36.75026151,37.95866451,36.63018563,36.45771659,38.36236212,36.65226578,34.29050541,37.35110517,36.09529531,37.38369725,38.58598006
Mar-88,64.91376881,59.82475325,59.82133096,60.09812635,59.25294003,60.89817294,60.40748987,62.04858917,57.87298933,56.83681429,60.78540887,57.69813355,52.15383508,60.89682784,58.08623784,58.28076045,62.33656531
Apr-88,97.49359512,89.95957369,89.95126859,90.3613689,91.55653062,94.05197136,92.10061045,91.44602753,87.92687057,88.9394759,93.00636733,90.19795083,81.47225655,89.68912466,94.86128179,90.4689692,92.7077549
May-88,135.0893128,122.7444718,122.7317484,123.2298544,130.4534853,133.4179213,128.0281632,127.3750972,119.8812529,120.3942132,125.2239945,126.9909796,111.1893794,125.2556496,133.4308728,122.3951918,127.3736269
Jun-88,152.3290896,144.3595691,144.343268,144.9188494,150.3277263,153.7551484,150.0980675,150.5397161,143.5060618,139.7173213,144.3598538,146.6725186,136.6748164,148.1232081,150.9257069,142.10799,150.151747
Jul-88,163.9329684,156.0919305,156.0769102,156.6331452,161.6044553,164.841719,161.5184024,162.0929798,154.4287422,150.7981752,156.0289402,157.4248965,145.6775602,159.7866031,162.0733761,153.489337,161.8051031
Aug-88,154.1713417,143.7013257,143.6916136,144.156657,150.9065251,153.5237674,150.0037489,150.978204,142.408534,136.8433279,142.1736295,147.0037459,134.9466041,149.106087,152.23539,139.5110984,150.2462564
