"Date","AirT","SR","sn","P","SoilT","CLM_ET"
2015-03-14,-3.63364121948247,404.49179803927,0,0,0.292422142857155,0.972973
2015-03-15,-3.96298514281502,404.472033481421,0,0,0.369078000000012,0.976775
2015-03-16,-4.29590055605181,403.302551744633,0,0,0.447909285714298,0.888534
2015-03-17,-4.62435115775391,401.257526604749,0,0,0.518531285714298,0.902386
2015-03-18,-4.94104510285775,398.665060617756,0,0,0.583812714285727,0.965195
2015-03-19,-5.23941560540043,395.891993972189,0,0,0.641861428571441,0.779686
2015-03-20,-5.51346621876939,393.327206105766,0,0,0.665569142857155,1.051241
2015-03-21,-5.75753101203558,391.363644731934,0,0,0.676524857142869,0.988177
2015-03-22,-5.96602104862636,390.379115185418,0,0,0.681865428571441,0.883043
2015-03-23,-6.13323329436192,390.715719543982,0,0,0.685104714285727,1.33542
2015-03-24,-6.25328139192108,392.658471516563,5,0,0.692664285714298,1.059682
2015-03-25,-6.32017521382899,396.414606545583,4,0,0.703960142857155,1.135704
2015-03-26,-6.32805009227542,402.095637002166,0,0,0.718852714285727,1.062105
2015-03-27,-6.27152981020993,409.704071509644,0,0,0.735868571428584,1.064087
2015-03-28,-6.14619335639553,419.126657639305,0,0,0.740110571428584,1.211337
2015-03-29,-5.94909762961205,430.135914521844,0,0,0.735367285714298,1.120288
2015-03-30,-5.67929179788058,442.401399964074,0,0,0.723360714285727,1.191401
2015-03-31,-5.33825416771284,455.510831257292,0,0,0.70565185714287,1.257009
2015-04-01,-4.93019527969324,468.999365137299,0,0,0.681320714285727,1.018364
2015-04-02,-4.46218844823453,482.384120596706,0,0,0.65009685714287,1.543226
2015-04-03,-3.94410082721964,495.20059789451,0,0,0.614038142857155,1.110901
2015-04-04,-3.38830466877462,507.0373491817,0,0,0.576026285714298,1.341533
2015-04-05,-2.80916187368322,517.565264567306,0,0,0.541497857142869,1.194586
2015-04-06,-2.22230160243163,526.558234499337,0,0,0.508447428571441,1.018619
2015-04-07,-1.64374036006239,533.903241194773,0,0,0.475981000000012,1.036238
2015-04-08,-1.08891313606727,539.59974843389,0,0,0.446152142857155,1.456765
2015-04-09,-0.571692575089907,543.749712743153,0,0,0.416920714285727,1.352788
2015-04-10,-0.103480322093539,546.540251571565,0,0,0.390980714285727,1.245406
2015-04-11,0.307536585267431,548.221487947783,0,0,0.376314857142869,1.272561
2015-04-12,0.656872265470691,549.082226310032,0,0,0.362904571428584,1.191681
2015-04-13,0.943902115119571,549.425966387592,0,0,0.351491000000012,1.455324
2015-04-14,1.17166736792584,549.549255450698,0,0,0.340962428571441,1.531972
2015-04-15,1.34634118952499,549.723595375256,0,0,0.317703714285727,1.657089
2015-04-16,1.47641388661995,550.181279289361,6,0,0.280659714285727,1.551155
2015-04-17,1.57168801539857,551.105190552113,17,0,0.244592285714298,2.767985
2015-04-18,1.64220147656203,552.622432983502,11,0,0.204239285714298,1.062475
2015-04-19,1.69721253790284,554.80171946959,0,0,0.163668285714298,0.85407
2015-04-20,1.74437508151388,557.654470729224,2,2,0.126907571428584,0.812005
2015-04-21,1.7892005911641,561.139317275903,0,0,0.0985917142857267,1.333317
2015-04-22,1.83485032701052,565.169348058529,0,0,0.0884772857142981,1.365043
2015-04-23,1.882244603314,569.621505011933,0,0,0.0974320000000124,1.182725
2015-04-24,1.93043192520569,574.347402927329,1,1,0.107856000000012,1.643736
2015-04-25,1.97713079898914,579.184651047429,2,2,0.117717571428584,1.393152
2015-04-26,2.01933878550197,583.967430757803,5,5,0.12726085714287,1.142298
2015-04-27,2.05389967370213,588.535089376275,5,5,0.143583428571441,1.009453
2015-04-28,2.07794135974026,592.738166479147,0,0,0.173730428571441,1.472157
2015-04-29,2.08914339429444,596.442175352505,0,0,0.205682428571441,1.539311
2015-04-30,2.08584619213851,599.529757783488,0,0,0.237917714285727,1.648741
2015-05-01,2.06704900010559,601.901975444229,0,0,0.350566714285727,1.557267
2015-05-02,2.03235630832218,603.479604130557,0,0,0.818981000000012,2.249533
2015-05-03,1.9819331639921,604.205488228105,0,0,1.52202757142858,2.510503
2015-05-04,1.91652352787209,604.048734201136,0,4,2.20448785714287,1.931881
2015-05-05,1.83756092113411,603.010561826606,6,6,2.74252142857144,2.58406
2015-05-06,1.74735969699075,601.13053979041,17,17,3.19458257142858,2.407788
2015-05-07,1.6493318800474,598.491587470733,11,11,3.71918414285716,1.271322
2015-05-08,1.54815293834833,595.222194516592,4,4,4.16596585714287,2.460628
2015-05-09,1.44980673598779,591.494586583056,9,9,3.94726385714287,2.626694
2015-05-10,1.36145897069384,587.517702296107,5,5,3.36958357142858,1.755512
2015-05-11,1.29113082753678,583.524437535413,3,3,2.91232557142858,1.697239
2015-05-12,1.2471786041333,579.753820291705,0,0,2.9986902857143,2.420767
2015-05-13,1.23762359706789,576.430000639103,0,0,3.37120100000001,2.289651
2015-05-14,1.26941291766072,573.740424641596,0,0,3.67093157142858,2.594052
2015-05-15,1.34770860756026,571.815552369336,6,6,3.54340742857144,3.040546
2015-05-16,1.47529218391813,570.7122109803,7,7,3.4849662857143,2.167074
2015-05-17,1.65215196872002,570.402778338999,8,8,3.71528242857144,1.622086
2015-05-18,1.87529955500642,570.772161804522,0,5,4.0787162857143,2.049587
2015-05-19,2.13883376026346,571.623559856746,11,11,3.79665985714287,3.088682
2015-05-20,2.43424320780058,572.692819811624,5,5,3.42979485714287,1.561681
2015-05-21,2.75091231001987,573.670413313984,0,0,3.35306057142858,2.391703
2015-05-22,3.07677979690896,574.229553377969,0,8,3.67026014285716,2.276773
2015-05-23,3.3990985242039,574.058520538204,5,5,4.0883072857143,1.880889
2015-05-24,3.70524574172524,572.894024487082,6,6,4.1344672857143,3.071705
2015-05-25,3.9835291613462,570.551416035749,8,8,4.06351385714287,1.867013
2015-05-26,4.2239344242512,566.947720613924,0,0,4.4724492857143,2.062715
2015-05-27,4.41876148147064,562.11431968399,0,2,4.87464057142858,2.858108
2015-05-28,4.56310462531897,556.197199501896,0,4,5.00890485714287,2.243786
2015-05-29,4.65513690015379,549.443830148817,0,4,5.1707962857143,2.261602
2015-05-30,4.69616598337799,542.177187818678,0,0,5.66579571428573,3.473192
2015-05-31,4.69044578840261,534.759989707986,0,0,6.59261457142858,3.816952
2015-06-01,4.64475850324865,527.554554060065,0,0,7.4844952857143,3.714773
2015-06-02,4.56780939681561,520.884380917922,0,0,8.23065457142859,4.00743
2015-06-03,4.46949729921303,515.003008241621,0,0,9.00349042857144,3.816382
2015-06-04,4.36013462191878,510.074472321647,0,0,9.8764762857143,3.709827
2015-06-05,4.24970070829119,506.168214881017,0,0,10.4542525714286,3.725683
2015-06-06,4.14721337673741,503.269302255933,0,4,10.4862744285714,2.11176
2015-06-07,4.06028599252613,501.301764513892,0,4,10.3210348571429,2.702082
2015-06-08,3.99489909910666,500.159984528772,0,0,10.2565162857143,3.792473
2015-06-09,3.95538061194887,499.742029405206,0,0,10.371646,4.193931
2015-06-10,3.9445641748953,499.979208619446,0,0,10.3138762857143,3.510504
2015-06-11,3.96407898555399,500.857128216571,0,10,9.77561600000001,3.686692
2015-06-12,4.01470431131483,502.424727801907,0,11,9.57145785714287,2.619918
2015-06-13,4.09670974393948,504.789553607937,0,0,9.81180114285716,3.686157
