energy,Hillslope1_20-30cm_2017,Hillslope3_20-30cm_2017,Hillslope3_50-60cm_2017,MCB3_15-30cm_2017,MCB3_50-90cm_2017,MCB3_105-140cm_2017,MCB3_0-12cm_2018,MCB3_40-55cm_2018,MCB3_70-85cm_2018,MZA2_0-15cm_2018,MZA2_30-45cm_2018,MZA2_60-75cm_2018,MYC3_2-15cm_2018
2466.6,2.47E-02,-4.13E-02,3.48E-02,2.63E-02,3.20E-02,2.72E-02,2.78E-02,4.39E-02,5.10E-02,2.69E-02,6.71E-02,6.81E-02,3.37E-02
2466.75,3.18E-02,-4.65E-02,4.20E-02,2.15E-02,2.25E-02,2.91E-02,3.59E-02,5.43E-02,6.63E-02,3.67E-02,7.65E-02,6.81E-02,3.81E-02
2466.9,2.85E-02,-4.75E-02,4.27E-02,2.55E-02,2.72E-02,3.28E-02,3.74E-02,5.28E-02,6.36E-02,3.02E-02,4.35E-02,5.20E-02,4.71E-02
2467.05,2.75E-02,-5.27E-02,5.26E-02,2.64E-02,3.57E-02,3.49E-02,3.01E-02,4.43E-02,8.75E-02,2.67E-02,7.24E-02,4.65E-02,5.06E-02
2467.2,3.72E-02,-4.84E-02,5.28E-02,2.45E-02,2.84E-02,3.68E-02,2.78E-02,5.64E-02,6.21E-02,3.14E-02,6.34E-02,5.76E-02,4.72E-02
2467.35,2.02E-02,-5.02E-02,5.06E-02,2.52E-02,3.24E-02,4.25E-02,3.90E-02,4.31E-02,0.10576234,3.40E-02,6.49E-02,7.56E-02,4.76E-02
2467.5,2.44E-02,-4.72E-02,4.88E-02,2.81E-02,3.43E-02,4.44E-02,3.63E-02,4.11E-02,7.55E-02,3.04E-02,6.61E-02,3.91E-02,5.03E-02
2467.65,2.00E-02,-5.66E-02,3.59E-02,3.27E-02,2.86E-02,4.71E-02,2.78E-02,4.76E-02,6.98E-02,3.53E-02,5.93E-02,6.46E-02,6.42E-02
2467.8,3.38E-02,-5.77E-02,4.31E-02,2.59E-02,3.40E-02,5.16E-02,3.49E-02,3.30E-02,9.10E-02,3.16E-02,7.40E-02,4.43E-02,5.88E-02
2467.95,2.78E-02,-5.91E-02,4.28E-02,3.68E-02,4.38E-02,5.99E-02,3.56E-02,4.96E-02,8.15E-02,3.49E-02,7.69E-02,5.60E-02,7.04E-02
2468.1,3.07E-02,-4.90E-02,4.67E-02,3.07E-02,4.50E-02,6.99E-02,3.97E-02,5.18E-02,7.84E-02,3.61E-02,4.09E-02,2.13E-02,8.24E-02
2468.25,4.10E-02,-5.74E-02,5.64E-02,3.48E-02,5.29E-02,8.25E-02,4.55E-02,5.14E-02,7.54E-02,4.40E-02,5.57E-02,6.22E-02,9.81E-02
2468.4,2.49E-02,-5.70E-02,4.70E-02,3.09E-02,4.74E-02,9.95E-02,4.40E-02,4.14E-02,7.80E-02,4.19E-02,7.29E-02,5.39E-02,0.12475942
2468.55,4.95E-02,-5.25E-02,4.82E-02,3.46E-02,5.74E-02,0.11704878,4.74E-02,6.42E-02,7.08E-02,5.00E-02,7.24E-02,4.81E-02,0.16784313
2468.7,3.15E-02,-5.70E-02,5.18E-02,4.02E-02,4.99E-02,0.1535021,4.82E-02,5.51E-02,9.45E-02,4.39E-02,7.35E-02,7.12E-02,0.20590044
2468.85,4.00E-02,-5.99E-02,5.78E-02,4.56E-02,6.99E-02,0.18056713,4.82E-02,7.35E-02,9.87E-02,4.69E-02,5.78E-02,6.26E-02,0.25837521
2469,5.12E-02,-4.47E-02,6.76E-02,4.21E-02,5.93E-02,0.20915968,5.63E-02,6.81E-02,8.07E-02,5.42E-02,8.04E-02,6.73E-02,0.31571446
2469.15,5.22E-02,-4.50E-02,6.14E-02,4.94E-02,8.19E-02,0.22511869,6.40E-02,7.54E-02,0.12184263,5.37E-02,7.98E-02,7.07E-02,0.38524381
2469.3,6.42E-02,-3.77E-02,7.64E-02,4.83E-02,8.11E-02,0.24814485,7.69E-02,8.24E-02,0.11598754,5.83E-02,8.94E-02,9.44E-02,0.41878874
2469.45,6.39E-02,-3.30E-02,8.37E-02,5.39E-02,9.93E-02,0.25999067,7.77E-02,7.57E-02,9.63E-02,6.51E-02,8.92E-02,9.71E-02,0.45521086
2469.6,6.17E-02,-3.14E-02,8.78E-02,5.87E-02,8.84E-02,0.28722292,7.93E-02,7.05E-02,0.10625261,6.90E-02,9.11E-02,0.10337265,0.45724727
2469.75,7.24E-02,-1.90E-02,0.10899823,6.83E-02,0.11503397,0.31399163,9.11E-02,7.65E-02,0.13576208,7.22E-02,0.11328633,9.65E-02,0.46175192
2469.9,9.42E-02,-1.27E-02,0.11180472,7.33E-02,0.11045307,0.35334935,0.10706322,8.99E-02,0.14510843,8.21E-02,0.12322483,0.10211612,0.46710951
2470.05,0.11623537,-8.67E-03,0.13480816,8.62E-02,0.12173646,0.39890001,0.11723333,0.11378066,0.16803619,8.24E-02,0.13148789,0.13696241,0.46760784
2470.2,0.13014103,1.32E-02,0.14192595,9.38E-02,0.14917021,0.46550435,0.13589442,0.10393893,0.14900307,8.79E-02,0.12693592,0.13056363,0.45649913
2470.35,0.1377024,1.95E-02,0.16761632,0.11580542,0.16332469,0.55540255,0.14496434,0.12857041,0.18065087,0.10616835,0.13040131,0.14126304,0.48520079
2470.5,0.17621103,4.07E-02,0.20051867,0.14179018,0.21607896,0.66656148,0.17657641,0.12874892,0.19600586,0.11564048,0.16928948,0.1500091,0.50614425
2470.65,0.20401848,7.52E-02,0.23704141,0.1682891,0.23944713,0.81040723,0.21062792,0.15686129,0.21595919,0.13399197,0.15820477,0.16998043,0.54116234
2470.8,0.25365469,9.65E-02,0.27648742,0.21097023,0.29077452,0.93924149,0.2498897,0.16430755,0.27870728,0.14499332,0.23022457,0.20055256,0.59636387
2470.95,0.30173949,0.158521,0.34205512,0.25648002,0.34622416,1.0798427,0.29633771,0.19201143,0.35815206,0.17750358,0.26561915,0.20861391,0.66642575
2471.1,0.36336401,0.20871933,0.3999721,0.31933416,0.43177612,1.1982052,0.34601895,0.21590752,0.42441875,0.20532338,0.31696797,0.2787523,0.71451994
2471.25,0.42398623,0.26532238,0.4602083,0.3919746,0.55318188,1.2946446,0.38851857,0.28608751,0.51098978,0.24668104,0.37712199,0.34138375,0.77603017
2471.4,0.479229,0.33046971,0.54102056,0.47062231,0.62382202,1.3693338,0.45419693,0.31540709,0.60146232,0.28925429,0.41684648,0.36050633,0.84442849
2471.55,0.54924881,0.39089831,0.58783637,0.56110513,0.73380277,1.4020801,0.50031286,0.36461289,0.7008612,0.34662727,0.49822906,0.44633283,0.89313989
2471.7,0.6000903,0.45402524,0.64910807,0.62512315,0.75216418,1.4150813,0.57118537,0.41450591,0.74791496,0.40515437,0.52332464,0.47611198,0.93481211
2471.85,0.65815711,0.50436598,0.69663341,0.68822821,0.8444834,1.4022581,0.63889751,0.47496372,0.79612543,0.45278197,0.56689258,0.56072324,0.97321146
2472,0.69283588,0.54655975,0.72353793,0.71802679,0.86896123,1.3755805,0.69317303,0.53494991,0.88855448,0.52970942,0.610869,0.59023537,1.0117049
2472.15,0.68725653,0.567368,0.74832595,0.75381124,0.90718248,1.3401404,0.75780093,0.57928136,0.8965946,0.6047659,0.64413054,0.65688623,1.0417631
2472.3,0.72340943,0.58619404,0.77625018,0.75206997,0.94891296,1.2980753,0.80702384,0.62433278,0.92773817,0.66696993,0.68440766,0.68101259,1.0648657
2472.45,0.7328423,0.61318878,0.77161795,0.74833152,0.96739754,1.2410979,0.86172223,0.67862636,0.94923956,0.72732045,0.73395831,0.7120139,1.060988
2472.6,0.74634583,0.64200208,0.80338131,0.77156937,1.0028807,1.1831101,0.89534937,0.74539514,0.97462346,0.77438657,0.76460132,0.7499613,1.0923266
2472.75,0.80845305,0.64099724,0.82014642,0.7922003,1.0019307,1.1323198,0.9299566,0.77800006,0.98233099,0.81305402,0.82176742,0.79595074,1.0977082
2472.9,0.82011876,0.68147065,0.86467589,0.79884962,1.0550639,1.0768177,0.95309624,0.82512248,1.0474936,0.849468,0.86431341,0.86854852,1.1058088
2473.05,0.84202129,0.71022599,0.89763539,0.83598318,1.1259701,1.0482189,0.96702126,0.85803305,1.1033144,0.87735404,0.94935746,0.87130781,1.0986049
2473.2,0.87712726,0.75346992,0.91833912,0.87123078,1.1497132,1.0026101,0.97576526,0.90680881,1.1432804,0.87948541,0.95984879,0.91025144,1.1024928
2473.35,0.91749161,0.79472397,0.91227134,0.87673005,1.1664236,0.95211989,0.97287336,0.92324076,1.1570763,0.89253133,1.0122114,0.90808574,1.0892219
