energy,Hillslope1_20-30cm_HEAVY,Hillslope1_70-80cm_LIGHT,Hillslope1_70-80cm_HEAVY,Hillslope3_20-30cm_LIGHT,Hillslope3_20-30cm_HEAVY,Hillslope3_30-50cm_HEAVY,Hillslope3_50-60cm_LIGHT,Hillslope3_70-80cm_LIGHT,Hillslope3_70-80cm_HEAVY,MCB3_15-30cm_LIGHT,MCB3_15-30cm_HEAVY,MCB3_50-88cm_LIGHT,MCB3_50-88cm_HEAVY,MCB3_105-140cm_LIGHT,MCB3_105-140cm_HEAVY
2474.85,0.9210614,0.68150154,0.89658995,0.85996491,0.91348563,0.68650624,0.87427656,0.69796672,1.2185467,0.7200782,0.89526226,1.1253429,1.2391013,0.73020825,0.75951825
2475,0.93393624,0.69119061,0.93007223,0.89901388,0.90461994,0.70246602,0.90337723,0.74683487,1.2104089,0.75622464,0.90459041,1.1231054,1.2509469,0.77680661,0.75598308
2475.15,0.94964277,0.70183038,0.98153893,0.93986466,0.90910955,0.72241415,0.92135342,0.78934647,1.2329823,0.8094294,0.92987957,1.169859,1.2617119,0.80677446,0.75031466
2475.3,0.94394174,0.71472426,0.99169017,0.97524901,0.91326308,0.72333349,0.93269983,0.81447276,1.2255454,0.83946478,0.90731582,1.1464795,1.2460365,0.83989281,0.74732485
2475.45,0.94266844,0.72681966,1.0017513,0.98093944,0.90680039,0.75338713,0.93960847,0.83852038,1.199211,0.84961937,0.92089109,1.14544,1.2522195,0.85400348,0.74412478
2475.6,0.9450506,0.72684571,1.005929,0.97489816,0.90174424,0.72877148,0.92472005,0.83877775,1.2098546,0.84975268,0.89977133,1.089243,1.233465,0.84573664,0.75472516
2475.75,0.91585172,0.72355013,0.97772654,0.95019191,0.88737185,0.70656161,0.91589473,0.81645623,1.1867534,0.83487708,0.89177215,1.1204856,1.2260678,0.84360774,0.74949985
2475.9,0.91126277,0.72232524,0.92710135,0.93025569,0.87048876,0.69162977,0.88365377,0.80767674,1.152611,0.81393587,0.86530984,1.0621373,1.1957059,0.79618027,0.76155309
2476.05,0.90020728,0.72972009,0.91301309,0.87381948,0.8525058,0.68060462,0.84926954,0.76943262,1.1209209,0.77554785,0.85190478,1.03898,1.21039,0.7793886,0.78252043
2476.2,0.85918225,0.73365773,0.87133545,0.82778935,0.82455754,0.66972509,0.82035691,0.74117447,1.1094814,0.73988219,0.81946981,1.0383285,1.1507824,0.74211759,0.7942407
