GRO_BOT_energy,GRO_BOT_data,GRO_MID_energy,GRO_MID_data,GRO_TOP_energy,GRO_TOP_data,PLM6_pristine_energy,PLM6_pristine_data,PLM6_weathered_energy,PLM6_weathered_data
2482.95,1.2626161,2482.95,1.2343611,2482.95,1.4449475,2482.95,1.1351944,2482.95,1.2255538
2483.1,1.2070957,2483.1,1.1891063,2483.1,1.3445029,2483.1,1.1088324,2483.1,1.1797454
2483.25,1.1614312,2483.25,1.1424909,2483.25,1.2705268,2483.25,1.1058755,2483.25,1.1515391
2483.4,1.1280128,2483.4,1.1115001,2483.4,1.2143804,2483.4,1.0881242,2483.4,1.1299703
2483.55,1.0996181,2483.55,1.0892759,2483.55,1.1505127,2483.55,1.078508,2483.55,1.1082421
2483.7,1.0873498,2483.7,1.0810395,2483.7,1.1321418,2483.7,1.0730078,2483.7,1.0990513
2483.85,1.0655749,2483.85,1.0639415,2483.85,1.0892355,2483.85,1.068929,2483.85,1.0881663
2484,1.0569936,2484,1.0557723,2484,1.0764529,2484,1.0592484,2484,1.0782689
2484.15,1.0614868,2484.15,1.0508218,2484.15,1.076876,2484.15,1.0696189,2484.15,1.0806927
2484.3,1.0712336,2484.3,1.0482003,2484.3,1.0604924,2484.3,1.0612856,2484.3,1.0813118
2484.45,1.0524207,2484.45,1.0517279,2484.45,1.0601555,2484.45,1.0526369,2484.45,1.0664441
2484.6,1.0577332,2484.6,1.0470712,2484.6,1.0594448,2484.6,1.0528537,2484.6,1.0684612
2484.75,1.0635482,2484.75,1.0610238,2484.75,1.0519984,2484.75,1.0548371,2484.75,1.0647959
2484.9,1.064562,2484.9,1.0566103,2484.9,1.0440746,2484.9,1.0590278,2484.9,1.0737847
2485.05,1.0632018,2485.05,1.0568032,2485.05,1.0381876,2485.05,1.0510633,2485.05,1.0595259
2485.2,1.0576976,2485.2,1.0583471,2485.2,1.0482975,2485.2,1.0620569,2485.2,1.0588326
2485.35,1.0656627,2485.35,1.0640616,2485.35,1.0390637,2485.35,1.0561118,2485.35,1.0642543
2485.5,1.0539735,2485.5,1.0581188,2485.5,1.0265189,2485.5,1.055153,2485.5,1.0628225
2485.65,1.0460112,2485.65,1.0520174,2485.65,1.0149669,2485.65,1.0574308,2485.65,1.0489026
2485.8,1.0373342,2485.8,1.0462709,2485.8,1.0175026,2485.8,1.0583129,2485.8,1.0442445
2485.95,1.0376982,2485.95,1.0342905,2485.95,1.0005737,2485.95,1.0474862,2485.95,1.036101
2486.1,1.0273117,2486.1,1.0301997,2486.1,0.99702463,2486.1,1.0380848,2486.1,1.0335693
2486.25,1.0144303,2486.25,1.0215418,2486.25,0.9956744,2486.25,1.0352513,2486.25,1.0202024
2486.4,1.0236731,2486.4,1.0142068,2486.4,0.9763459,2486.4,1.0298128,2486.4,1.0263336
2486.55,1.0078886,2486.55,1.0041759,2486.55,0.96402462,2486.55,1.0307603,2486.55,1.0188895
2486.7,1.0025362,2486.7,1.0117147,2486.7,0.96275866,2486.7,1.0293452,2486.7,1.0070819
2486.85,1.0071693,2486.85,1.0045126,2486.85,0.9654946,2486.85,1.0233996,2486.85,1.0137756
2487,0.98935709,2487,0.99992993,2487,0.96333964,2487,1.0196965,2487,1.008505
2487.15,0.98753852,2487.15,0.99113515,2487.15,0.95721331,2487.15,1.0224122,2487.15,1.0025733
2487.3,0.99093084,2487.3,0.99324018,2487.3,0.95768602,2487.3,1.0200322,2487.3,0.99691815
2487.45,0.98116922,2487.45,0.99697368,2487.45,0.96910085,2487.45,1.0181935,2487.45,1.0126449
2487.6,0.98450848,2487.6,0.99132308,2487.6,0.95439832,2487.6,1.0182263,2487.6,1.0021158
2487.75,0.99080982,2487.75,0.98477549,2487.75,0.94287893,2487.75,1.0109313,2487.75,0.99720918
2487.9,0.98458647,2487.9,0.99114856,2487.9,0.95139026,2487.9,1.017738,2487.9,0.99888401
2488.05,0.98326748,2488.05,0.98615685,2488.05,0.94692038,2488.05,1.0141433,2488.05,1.0019595
2488.2,0.98808925,2488.2,0.98920162,2488.2,0.95808594,2488.2,1.0135991,2488.2,1.0017522
2488.35,0.97456241,2488.35,0.99120699,2488.35,0.96071302,2488.35,1.0118188,2488.35,0.99926846
2488.5,0.98730219,2488.5,0.98928375,2488.5,0.95742829,2488.5,1.0125942,2488.5,0.99805609
2488.65,0.98214136,2488.65,0.99273843,2488.65,0.95170184,2488.65,1.0192587,2488.65,0.99897834
2488.8,0.98828059,2488.8,0.99704831,2488.8,0.95497432,2488.8,1.0189001,2488.8,1.0067563
2488.95,0.99291668,2488.95,0.99339798,2488.95,0.96521504,2488.95,1.0144301,2488.95,1.0123375
2489.1,0.99067517,2489.1,0.99663494,2489.1,0.97589729,2489.1,1.021258,2489.1,1.015877
2489.25,1.0016908,2489.25,0.99874955,2489.25,0.97075804,2489.25,1.0194625,2489.25,1.0080917
2489.4,1.007746,2489.4,1.00115,2489.4,0.98156503,2489.4,1.023674,2489.4,1.0284283
2489.55,1.0157612,2489.55,1.0097414,2489.55,0.98174846,2489.55,1.022565,2489.55,1.0100481
2489.7,1.0102187,2489.7,1.0165397,2489.7,0.98403587,2489.7,1.0302881,2489.7,1.0224862
2489.85,1.0113696,2489.85,1.0151553,2489.85,0.98611303,2489.85,1.0277519,2489.85,1.011494
2490,1.014725,2490,1.019869,2490,0.99014733,2490,1.0294814,2490,1.0282775
2490.15,1.0255712,2490.15,1.0194897,2490.15,1.0044723,2490.15,1.0270124,2490.15,1.0242453
2490.3,1.0174453,2490.3,1.0277786,2490.3,1.0001075,2490.3,1.0312159,2490.3,1.0221549
2490.45,1.024395,2490.45,1.0286398,2490.45,1.0064286,2490.45,1.0332782,2490.45,1.0208168
2490.6,1.0329113,2490.6,1.0281385,2490.6,1.0181222,2490.6,1.0340574,2490.6,1.0371241
2490.75,1.0351041,2490.75,1.0377551,2490.75,1.0059636,2490.75,1.0448413,2490.75,1.0383125
2490.9,1.0338381,2490.9,1.0370817,2490.9,1.0159274,2490.9,1.0341725,2490.9,1.0334724
2491.05,1.033337,2491.05,1.0318241,2491.05,1.0167516,2491.05,1.0351145,2491.05,1.0317259
2491.2,1.0470509,2491.2,1.032153,2491.2,1.013386,2491.2,1.0288395,2491.2,1.0307232
2491.35,1.0327857,2491.35,1.0341537,2491.35,1.0218641,2491.35,1.0354253,2491.35,1.0316638
2491.5,1.0362532,2491.5,1.0388985,2491.5,1.0186637,2491.5,1.0351754,2491.5,1.0292441
2491.65,1.0402527,2491.65,1.03405,2491.65,1.0277758,2491.65,1.0361031,2491.65,1.0340982
2491.8,1.0437172,2491.8,1.0326884,2491.8,1.0338885,2491.8,1.0304602,2491.8,1.0333377
2491.95,1.0328651,2491.95,1.0402268,2491.95,1.0378695,2491.95,1.028438,2491.95,1.0327857
2492.1,1.0241203,2492.1,1.0369331,2492.1,1.0309547,2492.1,1.0315942,2492.1,1.0340801
2492.25,1.0328414,2492.25,1.035748,2492.25,1.0401351,2492.25,1.0269506,2492.25,1.0344581
2492.4,1.0381008,2492.4,1.0410869,2492.4,1.0316187,2492.4,1.0269516,2492.4,1.0319682
2492.55,1.0295388,2492.55,1.0362716,2492.55,1.037584,2492.55,1.0272809,2492.55,1.0266323
2492.7,1.0407504,2492.7,1.0304895,2492.7,1.0364769,2492.7,1.0276337,2492.7,1.0334515
2492.85,1.0273517,2492.85,1.0343879,2492.85,1.048862,2492.85,1.0216506,2492.85,1.0219934
2493,1.0246563,2493,1.0270395,2493,1.0351787,2493,1.0262409,2493,1.0197971
2493.15,1.025203,2493.15,1.0261491,2493.15,1.0346937,2493.15,1.019195,2493.15,1.0239958
2493.3,1.0180675,2493.3,1.0291024,2493.3,1.0483961,2493.3,1.0216093,2493.3,1.0177735
2493.45,1.0171007,2493.45,1.0218324,2493.45,1.0511373,2493.45,1.016349,2493.45,1.0160496
2493.6,1.0250334,2493.6,1.0194845,2493.6,1.0212388,2493.6,1.0140043,2493.6,1.0148621
2493.75,1.0250613,2493.75,1.0140208,2493.75,1.0278746,2493.75,1.0137196,2493.75,1.0122687
2493.9,1.0210278,2493.9,1.0205079,2493.9,1.0299223,2493.9,1.0140388,2493.9,1.0093431
2494.05,1.0238557,2494.05,1.0157031,2494.05,1.0203044,2494.05,1.0129925,2494.05,1.0099749
2494.2,1.005759,2494.2,1.0184756,2494.2,1.0256039,2494.2,1.0056427,2494.2,1.0194113
2494.35,1.0203321,2494.35,1.0139914,2494.35,1.0309869,2494.35,0.99981718,2494.35,1.0120875
2494.5,1.0158948,2494.5,1.0056336,2494.5,1.0313432,2494.5,1.0112738,2494.5,1.0130876
2494.65,1.0268323,2494.65,1.0113775,2494.65,1.0200979,2494.65,1.0027747,2494.65,1.0079501
2494.8,1.0043514,2494.8,1.0090737,2494.8,1.0284163,2494.8,0.99631379,2494.8,1.0065372
2494.95,1.0136252,2494.95,1.0047027,2494.95,1.023834,2494.95,1.0059593,2494.95,1.0072312
2495.1,1.0103256,2495.1,1.0087621,2495.1,1.0354162,2495.1,1.0014308,2495.1,0.99745154
