Energy (eV),spot 1,spot 3,spot 2
2516.676,1.0670199,1.0613944,0.89658175
2516.926,1.0640807,1.0892568,0.86415161
2517.176,1.0734206,1.1170423,0.9512605
2517.426,1.0591421,1.0858484,1.1394206
2517.6761,1.0780911,1.0820005,0.98405245
2517.9261,1.0709608,1.0887545,1.053245
2518.1761,1.0819044,1.0779281,0.99060733
2518.4261,1.0775659,1.0732683,0.98633753
2518.6761,1.0744736,1.0920533,1.0135203
2518.9261,1.07259,1.0779308,1.0771202
2519.1761,1.057277,1.08168,1.0455438
2519.4261,1.0729514,1.0633995,0.99697252
2519.6761,1.0736621,1.0936057,0.95898381
2519.9261,1.0332208,1.0588989,0.92966285
2520.1762,1.0517022,1.0905131,0.96407757
2520.4262,1.0391359,1.0721377,1.1919607
2520.6762,1.040408,1.0473299,1.0369257
2520.9262,1.0657817,1.0887793,1.1354456
2521.1762,1.0385978,1.065747,1.0360059
2521.4262,1.048827,1.0675589,1.0225796
2521.6762,1.0368203,1.0943919,0.88975238
2521.9262,1.0359098,1.0658448,1.0015178
2522.1762,1.0489103,1.0835064,0.99188
2522.4262,1.0207779,1.0315576,1.0433605
2522.6762,1.0149381,1.0608984,1.0811507
2522.9263,1.0341065,1.0573405,1.1451112
2523.1763,1.0383517,1.0328212,1.0661364
2523.4263,1.0164536,1.0569269,1.0240742
2523.6763,1.0101421,1.0557835,0.948465
2523.9263,1.0206442,1.0355401,1.0119434
2524.1763,1.0034035,1.0368177,1.0364972
2524.4263,1.0146601,1.0129668,1.0118828
2524.6763,1.0195592,1.0504326,1.1496926
2524.9263,0.9932352,1.0596116,1.1177833
2525.1763,1.0305558,1.0363283,1.082533
2525.4264,0.98279184,1.0298732,1.1633665
2525.6764,0.98331778,1.0362846,1.0808989
2525.9264,0.97765261,1.0323656,1.012534
2526.1764,0.98893354,1.0303276,1.0579198
2526.4264,0.96255201,1.0178758,1.0808441
2526.6764,0.97251576,1.0220343,1.0005877
2526.9264,0.96365344,1.0516395,1.0455465
2527.1764,0.9719686,1.0014034,1.1387145
2527.4264,0.94722068,1.0343024,1.1115926
2527.6764,0.95104362,1.0842817,0.9829075
2527.9264,0.96576947,1.0303703,1.104796
2528.1765,0.96745304,1.0004572,1.1529404
2528.4265,0.94428116,1.0329225,1.1691259
2528.6765,0.92322003,1.0327742,1.0906501
2528.9265,0.92945393,1.0169383,1.0694022
2529.1765,0.93086754,1.0706264,0.9866727
2529.4265,0.92950657,1.0464781,1.088663
2529.6765,0.94653354,1.0478472,1.2179869
2529.9265,0.94876421,1.0206689,0.97084154
2530.1765,0.92991253,1.026635,1.0711177
2530.4265,0.93659094,1.0116949,1.0501852
2530.6766,0.96939304,1.0517456,1.1881554
2530.9266,0.96698243,0.99728188,1.1927829
2531.1766,0.95263896,1.0541569,1.2796155
2531.4266,0.95276907,1.0474767,1.166766
2531.6766,0.93822615,1.0380977,1.1155787
2531.9266,0.94104484,0.9892927,1.1690751
2532.1766,0.94855489,1.0346834,1.2397914
2532.4266,0.94735536,1.0142198,1.012678
2532.6766,0.95296569,1.0429732,1.1576966
2532.9266,0.9649833,1.0190908,1.2414725
2533.1766,0.95714783,1.0418351,1.3006033
2533.4267,0.96100111,1.0763092,1.2257263
2533.6767,0.98408837,1.0293385,1.2664762
2533.9267,0.96431221,1.0158098,1.2628573
2534.1767,0.97410183,1.0495695,1.2399605
2534.4267,0.97252407,1.0078147,1.4410735
2534.6767,0.98963701,0.98969938,1.4764891
2534.9267,0.97425116,1.0103677,1.2282654
2535.1767,0.9932197,0.98916722,1.2034133
2535.4267,1.0036583,1.0032517,1.389346
2535.6767,1.0218706,1.0212595,1.390839
2535.9268,1.0032338,0.99989876,1.3560768
2536.1768,0.99911464,1.0287369,1.3347645
2536.4268,1.0107626,0.96650907,1.5251735
2536.6768,0.9752803,0.99855472,1.3148546
2536.9268,1.0354369,0.9407491,1.2475196
2537.1768,1.0219461,0.94044302,1.2810991
2537.4268,1.0297707,0.97537222,1.4408116
2537.6768,1.0182518,0.92378496,1.4938151
2537.9268,1.0344395,0.96760451,1.5349343
2538.1768,1.0503097,0.91888128,1.5951482
2538.4268,1.0281344,0.94879703,1.4626028
2538.6769,1.0514211,0.92822699,1.4849755
2538.9269,1.0294745,0.89879995,1.4916785
2539.1769,1.0389267,0.92556041,1.365074
2539.4269,1.0356093,0.87680098,1.5103261
2539.6769,1.0496069,0.90136956,1.4638835
2539.9269,1.0533959,0.91011229,1.5633281
2540.1769,1.0451895,0.88854973,1.4843287
2540.4269,1.0550042,0.89540866,1.4978463
2540.6769,1.0772517,0.85511252,1.5748053
2540.9269,1.0595654,0.86309015,1.5168263
2541.177,1.0656846,0.84026423,1.5759231
2541.427,1.0775637,0.8497453,1.6962187
2541.677,1.0764425,0.85928012,1.6678085
2541.927,1.0598608,0.85632473,1.5430975
2542.177,1.0908435,0.75319878,1.7057604
2542.427,1.0571998,0.79591129,1.7074698
2542.677,1.0551385,0.73615903,1.646075
2542.927,1.0451756,0.76138777,1.5098488
2543.177,1.0677926,0.72912443,1.5331174
2543.427,1.04777,0.79922071,1.5828156
2543.677,1.039997,0.73291064,1.8528742
2543.9271,1.050318,0.75007336,1.8692801
2544.1771,1.0604501,0.6653415,1.8058056
2544.4271,1.0742595,0.7559248,1.7188824
2544.6771,1.0558846,0.74762189,1.5292765
2544.9271,1.0420089,0.66996366,1.7434824
2545.1771,1.0036583,0.60110485,1.916435
2545.4271,0.99478306,0.63817704,1.8792046
2545.6771,1.0315375,0.57433703,1.7882077
2545.9271,0.97471627,0.57283773,1.6408611
2546.1771,1.0483209,0.62323395,1.4777354
2546.4272,1.0181569,0.61160584,1.8487095
2546.6772,1.0775966,0.60765236,1.8425132
2546.9272,1.0413953,0.54455433,1.7750677
2547.1772,0.98753211,0.54341813,1.5672632
2547.4272,0.99583109,0.40909617,1.7524864
2547.6772,0.99390346,0.40996883,1.9183426
2547.9272,1.0124822,0.41102603,1.5135956
2548.1772,1.0073811,0.46698681,1.9582461
2548.4272,0.94875107,0.35993858,1.7029619
2548.6772,0.98676943,0.37059543,1.7560907
2548.9272,1.0135739,0.39160217,1.7849906
2549.1773,0.99019375,0.37922002,1.0934801
2549.4273,1.0101641,0.31427375,1.2480649
2549.6773,0.9698531,0.25027668,1.0839295
2549.9273,0.97192282,0.30737367,1.4471448
2550.1773,0.96361497,0.21478767,1.386283
