Plot,Treatment,Collar,DateTime,gC.m2.hr,DateTime
3,C,D,1/9/15 8:44,0.075903188,1/9/15
3,C,E,1/9/15 8:52,0.064669421,1/9/15
3,C,F,1/9/15 9:01,0.053984194,1/9/15
3,C,G,1/9/15 9:09,0.089183163,1/9/15
3,H,A,1/9/15 9:18,0.093643914,1/9/15
3,H,B,1/9/15 9:27,0.085004237,1/9/15
3,H,C,1/9/15 9:35,0.11952797,1/9/15
3,H,D,1/9/15 9:44,0.083810848,1/9/15
3,H,E,1/9/15 9:52,0.09855799,1/9/15
3,H,F,1/9/15 10:03,0.12085436,1/9/15
3,H,G,1/9/15 10:12,0.080978348,1/9/15
1,C,A,2/10/15 16:34,0.115022467,2/10/15
1,C,B,2/10/15 16:43,0.117421002,2/10/15
1,C,C,2/10/15 16:53,0.104914438,2/10/15
1,C,D,2/10/15 17:03,0.23665258,2/10/15
1,C,E,2/10/15 17:13,0.13867393,2/10/15
1,C,F,2/10/15 17:23,0.11655957,2/10/15
1,C,G,2/10/15 17:31,0.097042826,2/10/15
1,H,A,2/11/15 9:37,0.130514508,2/11/15
1,H,B,2/11/15 9:46,0.10291712,2/11/15
1,H,C,2/11/15 9:54,0.113516751,2/11/15
1,H,D,2/11/15 10:03,0.118471218,2/11/15
1,H,E,2/11/15 10:12,0.158631116,2/11/15
1,H,F,2/11/15 10:20,0.091934236,2/11/15
1,H,G,2/11/15 10:29,0.090901217,2/11/15
2,C,A,2/10/15 13:53,0.169781329,2/10/15
2,C,B,2/10/15 14:03,0.138845674,2/10/15
2,C,C,2/10/15 14:13,0.07814312,2/10/15
2,C,D,2/10/15 14:22,0.102945477,2/10/15
2,C,E,2/10/15 14:32,0.126055257,2/10/15
2,C,F,2/10/15 14:41,0.126668241,2/10/15
2,C,G,2/10/15 14:51,0.133232002,2/10/15
2,H,A,2/10/15 12:47,0.079495074,2/10/15
2,H,B,2/10/15 12:57,0.078168688,2/10/15
2,H,C,2/10/15 13:06,0.076698178,2/10/15
2,H,D,2/10/15 13:15,0.086406711,2/10/15
2,H,E,2/10/15 13:25,0.068595115,2/10/15
2,H,F,2/10/15 13:34,0.071071313,2/10/15
2,H,G,2/10/15 13:44,0.091816287,2/10/15
3,C,A,2/10/15 15:05,0.278095058,2/10/15
3,C,B,2/10/15 15:15,0.275659284,2/10/15
3,C,C,2/10/15 15:25,0.129299665,2/10/15
3,C,D,2/10/15 15:34,0.126919461,2/10/15
3,C,E,2/10/15 15:44,0.190412935,2/10/15
3,C,F,2/10/15 15:53,0.145047576,2/10/15
3,C,G,2/10/15 16:03,0.252488899,2/10/15
3,H,A,2/11/15 8:27,0.06011836,2/11/15
3,H,B,2/11/15 8:36,0.063789228,2/11/15
3,H,C,2/11/15 8:52,0.129445651,2/11/15
3,H,D,2/11/15 8:44,0.055221069,2/11/15
3,H,E,2/11/15 9:01,0.063419493,2/11/15
3,H,F,2/11/15 9:11,0.109827838,2/11/15
3,H,G,2/11/15 9:21,0.061765661,2/11/15
1,C,A,3/9/15 14:36,0.116702778,3/9/15
1,C,B,3/9/15 14:46,0.134048467,3/9/15
1,C,C,3/9/15 14:54,0.104947872,3/9/15
1,C,D,3/9/15 15:03,0.171640098,3/9/15
1,C,E,3/9/15 15:12,0.150293688,3/9/15
1,C,F,3/9/15 15:22,0.117058822,3/9/15
1,C,G,3/9/15 15:31,0.085896978,3/9/15
1,H,A,3/9/15 13:31,0.333104825,3/9/15
1,H,B,3/9/15 13:40,0.257060917,3/9/15
1,H,C,3/9/15 13:49,0.183342342,3/9/15
1,H,D,3/9/15 13:58,0.149753379,3/9/15
1,H,E,3/9/15 14:07,0.281359499,3/9/15
1,H,F,3/9/15 14:16,0.232713918,3/9/15
1,H,G,3/9/15 14:25,0.219620268,3/9/15
2,C,A,3/9/15 16:41,0.113407055,3/9/15
2,C,B,3/9/15 16:50,0.108159077,3/9/15
2,C,C,3/9/15 16:59,0.10258037,3/9/15
2,C,D,3/9/15 17:07,0.148309613,3/9/15
2,C,E,3/9/15 17:16,0.157537574,3/9/15
2,C,F,3/9/15 17:26,0.103941717,3/9/15
2,C,G,3/9/15 17:34,0.105351291,3/9/15
2,H,A,3/9/15 15:41,0.214987883,3/9/15
2,H,B,3/9/15 15:49,0.131687351,3/9/15
2,H,C,3/9/15 15:59,0.113792483,3/9/15
2,H,D,3/9/15 16:07,0.124971044,3/9/15
2,H,E,3/9/15 16:15,0.167325085,3/9/15
2,H,F,3/9/15 16:23,0.130033901,3/9/15
2,H,G,3/9/15 16:32,0.112989219,3/9/15
3,C,A,3/10/15 8:11,0.155229845,3/10/15
3,C,B,3/10/15 8:21,0.049384759,3/10/15
3,C,C,3/10/15 8:31,0.053151035,3/10/15
3,C,D,3/10/15 8:39,0.062641055,3/10/15
3,C,E,3/10/15 8:47,0.064815079,3/10/15
3,C,F,3/10/15 8:57,0.05364012,3/10/15
3,C,G,3/10/15 9:06,0.076453107,3/10/15
3,H,A,3/10/15 9:14,0.129091258,3/10/15
3,H,B,3/10/15 9:23,0.100281147,3/10/15
3,H,C,3/10/15 9:31,0.162438322,3/10/15
3,H,D,3/10/15 9:39,0.473686184,3/10/15
3,H,E,3/10/15 9:48,0.116221987,3/10/15
3,H,F,3/10/15 9:56,0.106817091,3/10/15
3,H,G,3/10/15 10:05,0.053857087,3/10/15
1,C,A,4/14/15 8:30,0.095757582,4/14/15
1,C,B,4/14/15 8:41,0.098835756,4/14/15
1,C,C,4/14/15 8:50,0.097708927,4/14/15
1,C,D,4/14/15 8:59,0.134964994,4/14/15
1,C,E,4/14/15 9:07,0.108684741,4/14/15
1,C,F,4/14/15 9:15,0.083932072,4/14/15
1,C,G,4/14/15 9:24,0.077402336,4/14/15
1,H,A,4/14/15 9:34,0.245534209,4/14/15
1,H,B,4/14/15 9:42,0.156409985,4/14/15
1,H,C,4/14/15 9:51,0.119684808,4/14/15
1,H,D,4/14/15 10:00,0.122437436,4/14/15
1,H,E,4/14/15 10:08,0.188470778,4/14/15
1,H,F,4/14/15 10:17,0.1860693,4/14/15
1,H,G,4/14/15 10:25,0.187173177,4/14/15
2,C,A,4/14/15 10:40,0.105970808,4/14/15
2,C,B,4/14/15 10:48,0.107600278,4/14/15
2,C,C,4/14/15 10:57,0.096483479,4/14/15
2,C,D,4/14/15 11:05,0.142847776,4/14/15
2,C,E,4/14/15 11:13,0.133021997,4/14/15
2,C,F,4/14/15 11:22,0.105711282,4/14/15
2,C,G,4/14/15 11:30,0.109147596,4/14/15
2,H,A,4/14/15 11:39,0.241835562,4/14/15
2,H,B,4/14/15 11:48,0.212493083,4/14/15
2,H,C,4/14/15 11:56,0.129163866,4/14/15
2,H,D,4/14/15 12:30,0.131188494,4/14/15
2,H,E,4/14/15 12:39,0.174440097,4/14/15
2,H,F,4/14/15 12:47,0.152707955,4/14/15
2,H,G,4/14/15 12:56,0.161370843,4/14/15
3,C,A,4/13/15 17:02,0.105746205,4/13/15
3,C,B,4/13/15 17:11,0.053435979,4/13/15
3,C,C,4/13/15 17:19,0.115171028,4/13/15
3,C,D,4/13/15 17:28,0.096225789,4/13/15
3,C,E,4/13/15 17:36,0.074207894,4/13/15
3,C,F,4/13/15 17:45,0.058120318,4/13/15
3,C,G,4/13/15 17:53,0.099595132,4/13/15
3,H,A,4/13/15 18:02,0.124017033,4/13/15
3,H,B,4/13/15 18:10,0.103901627,4/13/15
3,H,C,4/13/15 18:19,0.170550005,4/13/15
3,H,D,4/13/15 18:27,0.126745207,4/13/15
3,H,E,4/13/15 18:37,0.126988985,4/13/15
3,H,F,4/13/15 18:45,0.131333349,4/13/15
3,H,G,4/13/15 18:54,0.099344157,4/13/15
1,C,A,5/11/15 14:43,0.113854193,5/11/15
1,C,B,5/11/15 14:52,0.16728557,5/11/15
1,C,C,5/11/15 15:01,0.156743475,5/11/15
