Depth,BD.g.cc_mean,Plot,Treatment,MidDepth,Date,C13,%C,%N,CN,Instrument,MB_C.mg.gdrysoil
90-100,1.350239042,2,Control,95,20160517,-23.78,0.41,0.02,23.56,LBL_IRMS,NA
0-10,0.805036342,2,Heated,5,20140603,NA,5.714925954,0.15689309,36.43,UCBerk_IRMS,0.655852861
0-10,0.805036342,2,Heated,5,20160517,-25.59,6.76,0.21,32.35,LBL_IRMS,1.088263153
0-10,0.805036342,2,Heated,5,20180404,-25.6,10.58083889,0.276147567,38.31588671,UCD_SIF_IRMS,0.473871498
0-10,0.805036342,2,Heated,5,20180404,-25.0975,6.70732415,0.2559378,26.20685241,UZH,NA
10-20,0.988212608,2,Heated,15,20140603,NA,4.099696558,0.101733111,40.3,UCBerk_IRMS,0.529585967
10-20,0.988212608,2,Heated,15,20160517,-25.18,3.09,0.12,25.92,LBL_IRMS,0.329057065
10-20,0.988212608,2,Heated,15,20180404,-25.279,4.544249,0.1851358,24.54549039,UZH,NA
10-20,0.988212608,2,Heated,15,20180404,-25.49,3.780249251,0.155630505,24.28989903,UCD_SIF_IRMS,0.24905703
20-30,1.142677254,2,Heated,25,20140603,NA,2.831114517,0.052965517,53.45,UCBerk_IRMS,0
20-30,1.142677254,2,Heated,25,20160517,-25.06,3.18,0.13,24.44,LBL_IRMS,NA
20-30,1.142677254,2,Heated,25,20180404,-25.174,2.083545933,0.084572067,24.63633698,UZH,NA
20-30,1.142677254,2,Heated,25,20180404,-24.95,1.708355177,0.077582972,22.01971822,UCD_SIF_IRMS,NA
30-40,1.268430279,2,Heated,35,20140603,NA,1.334736365,0.044767294,29.81,UCBerk_IRMS,0.31403604
30-40,1.268430279,2,Heated,35,20160517,-24.6,1,0.04,23.36,LBL_IRMS,0.215286757
30-40,1.268430279,2,Heated,35,20180404,-25.64,1.831223953,0.05739052,31.90812615,UCD_SIF_IRMS,0.174807026
30-40,1.268430279,2,Heated,35,20180404,-24.609,0.85070105,0.0429321,19.81503467,UZH,NA
40-50,1.365471685,2,Heated,45,20140603,NA,1.048432152,0.034320404,30.55,UCBerk_IRMS,0.175706988
40-50,1.365471685,2,Heated,45,20160517,-25.16,1.03,0.03,31.39,LBL_IRMS,NA
40-50,1.365471685,2,Heated,45,20180404,-24.98433333,0.667209567,0.028282333,23.59103681,UZH,NA
40-50,1.365471685,2,Heated,45,20180404,-24.52,0.938158262,0.044079105,21.28351418,UCD_SIF_IRMS,NA
50-60,1.43380147,2,Heated,55,20140603,NA,1.538420366,0.02143897,71.76,UCBerk_IRMS,0.240710006
50-60,1.43380147,2,Heated,55,20160517,NA,0.28,0.02,17.9,LBL_IRMS,0.057044768
50-60,1.43380147,2,Heated,55,20180404,-23.78,0.40482835,0.02148787,18.83985497,UCD_SIF_IRMS,0.019521374
50-60,1.43380147,2,Heated,55,20180404,-23.8255,0.2427918,0.0135916,17.86337149,UZH,NA
60-70,1.473419635,2,Heated,65,20140603,NA,0.473407455,2.780944923,0.17,UCBerk_IRMS,0.126949677
60-70,1.473419635,2,Heated,65,20160517,NA,0.19,0.01,21.16,LBL_IRMS,NA
60-70,1.473419635,2,Heated,65,20180404,-24.03,0.266850894,0.011480781,23.2432702,UCD_SIF_IRMS,NA
60-70,1.473419635,2,Heated,65,20180404,-23.5345,0.2196366,0.01200555,18.29458875,UZH,NA
70-80,1.484326179,2,Heated,75,20140603,NA,0.455839708,0.011140414,40.92,UCBerk_IRMS,0.092937642
70-80,1.484326179,2,Heated,75,20160517,-23.18,0.19,0.01,21.11,LBL_IRMS,NA
70-80,1.484326179,2,Heated,75,20180404,-22.84,0.100442323,0.003980528,25.23341908,UCD_SIF_IRMS,NA
70-80,1.484326179,2,Heated,75,20180404,-23.948,0.1827618,0.01041985,17.53977265,UZH,NA
80-90,1.466521104,2,Heated,85,20140603,NA,0.270196335,0.713006967,0.38,UCBerk_IRMS,0.034400441
80-90,1.466521104,2,Heated,85,20160517,NA,0.1,0.01,17.42,LBL_IRMS,0.009092683
80-90,1.466521104,2,Heated,85,20180404,-24.1775,0.227629,0.01045025,21.78215832,UZH,NA
80-90,1.466521104,2,Heated,85,20180404,-22.73,0.070051711,0.003283324,21.335607,UCD_SIF_IRMS,0.012150085
0-10,0.805036342,3,Control,5,20140603,NA,5.733259654,0.094948243,60.38,UCBerk_IRMS,0.613647725
0-10,0.805036342,3,Control,5,20160517,-26.17,4.57,0.2,23.08,LBL_IRMS,0.389206958
0-10,0.805036342,3,Control,5,20180404,-26.49,6.258883636,0.252807479,24.75750979,UCD_SIF_IRMS,0.233590697
0-10,0.805036342,3,Control,5,20180404,-26.348,6.6773886,0.2558027,26.1036674,UZH,NA
10-20,0.988212608,3,Control,15,20140603,NA,2.251552405,0.0350411,64.25,UCBerk_IRMS,0.174554057
10-20,0.988212608,3,Control,15,20160517,-24.98,1.86,0.09,20.98,LBL_IRMS,0.071136618
10-20,0.988212608,3,Control,15,20180404,-25.71,3.750822009,0.12363304,30.33834649,UCD_SIF_IRMS,0.102751502
10-20,0.988212608,3,Control,15,20180404,-25.0035,1.5639905,0.066417875,23.5477347,UZH,NA
20-30,1.142677254,3,Control,25,20140603,NA,1.160095612,0.034464072,33.66,UCBerk_IRMS,0.168474303
20-30,1.142677254,3,Control,25,20160517,-24.73,1.25,0.05,27.39,LBL_IRMS,NA
