Lab-ID,Plot,Treatment,Block,Sampling Depth,Depth,pH,PLFA_Data_nmol_per_g_soil,iC14:0_nmol_per_g_soil,aC14:0_nmol_per_g_soil,C14:0_nmol_per_g_soil,iC15:0_nmol_per_g_soil,aC15:0_nmol_per_g_soil,C15:0_nmol_per_g_soil,iC16:0_nmol_per_g_soil,aC16:0_nmol_per_g_soil,C16:1w7c_nmol_per_g_soil,C16:1w9c_nmol_per_g_soil,C16:1w5c_nmol_per_g_soil,C16:0_nmol_per_g_soil,10MeC16:0_nmol_per_g_soil,iC17:0_nmol_per_g_soil,aC17:0_nmol_per_g_soil,cyC17:0_nmol_per_g_soil,C17:0_nmol_per_g_soil,C18:2w6c_nmol_per_g_soil,C18:1w5c_nmol_per_g_soil,C18:1w11c_nmol_per_g_soil,C18:0_nmol_per_g_soil,10MeC18:0_nmol_per_g_soil,cyC19:0_nmol_per_g_soil,C20:0_nmol_per_g_soil,brGDGT_Data_ng_per_g_soil,IIIa_1050a_ng_per_g_soil,IIIa'_1050b_ng_per_g_soil,IIIb_1048a_ng_per_g_soil,IIIb'_1048b_ng_per_g_soil,IIIc_1046a_ng_per_g_soil,IIIc'_1046b_ng_per_g_soil,IIa_1036a_ng_per_g_soil,IIa'_1036b_ng_per_g_soil,IIb_1034a_ng_per_g_soil,IIb'_1034b_ng_per_g_soil,IIc_1032a_ng_per_g_soil,IIc'_1032b_ng_per_g_soil,Ia_1022_ng_per_g_soil,Ib_1020_ng_per_g_soil,Ic_1018_ng_per_g_soil
176B18NO17,1H,Heated,1,9.5-20.5,-15,5.5,,0.169555004,0.070944227,0.556836109,1.498950478,0.877685359,0.36645982,0.779464716,0.150766809,0.051600957,1.285869251,0.588947068,7.058937153,1.400330155,0.375677186,0.63843381,1.225387507,0.294137838,0.707081338,3.149100168,2.120994436,3.506295031,0.254890979,2.325882919,0.500298925,,9.329773094,15.73727664,0,0,0.400405498,0.400405498,20.09752596,40.71285734,0.322138884,3.810825817,1.619969963,0,40.73350727,3.864380221,1.124710203
176B18NO18,1H,Heated,1,20.5-31,-25,5.4,,0.068898365,0.058859866,0.180815434,0.520745884,0.321206877,0.13161605,0.395897773,0.038004932,0,0.297873657,0.194709289,3.291483149,0.658077891,0.158954128,0.298717183,0.383128445,0.094613944,0.462312492,1.237924055,0.486503372,2.21260095,0.157129785,0.771215296,0.253260037,,0.147977243,0.185044991,0,0,0,0,0.346086504,0.835460342,0.020040386,0.060023801,0,0,1.010403729,0.092547674,0.007038222
176B18NO19,1H,Heated,1,31-40.5,-35,5.72,,0.031195899,0.025562878,0.126832676,0.449717695,0.197252372,0.106302889,0.308427022,0.017210171,0.006455044,0.180711183,0.081941796,0.113349247,0.450246093,0.161033439,0.174729341,0.296890806,0.080655832,0.179327334,0.530446297,0.180855779,1.561769005,0.137702275,0.448122269,0.07641318,,0.128477596,0.10054658,0,0,0,0,0.287845703,0.567959252,0.017086949,0.035958485,0,0,0.773542459,0.022354975,0.01168238
176B18NO20,1H,Heated,1,40.5-50,-45,4.96,,0.027265929,0.016785522,0.092584664,0.654804187,0.259058596,0.098703814,0.319225351,0.043483833,0.021247089,0.319752138,0.141924907,0.092137666,0.58647826,0.177804687,0.151816573,0.367497108,0.052901317,0.266593598,0.777119923,0.495749971,0.994401961,0.088228614,1.013850709,0.089806962,,0.046709069,0.02461758,0,0,0,0,0.114671232,0.114850542,0.008697751,0.017685064,0.004560292,0.00156654,0.228335662,0.027124287,0.003009502
176B18NO21,1H,Heated,1,50-60,-55,4.87,,0.014335934,0.011810366,0.114754884,0.200512441,0.101589359,0.05212049,0.154264415,0.010878692,0,0.061912788,0.037490186,1.34337749,0.226115709,0.07766023,0.06494076,0.094446595,0.037173542,0.054196278,0.265770693,0.175323519,1.217653384,0.047655948,0.463265928,0.066082513,,3.188224126,0.789351283,0.064680566,0.031564116,0,0,9.305163598,3.572933786,0.074449919,0,0.706787833,0,11.4487914,0.527296674,0.21250412
176B18NO22,1H,Heated,1,60-69.5,-65,4.82,,0.021521211,0.013902888,0.28355901,0.388011473,0.120267166,0.061554145,0.157071544,0.016852898,0.004934173,0.170885116,0.055658766,0.061406826,0.310713165,0.100286272,0.069222021,0.194619661,0.052096942,0.091199446,0.346321303,0.290460004,0.688510984,0.040623523,0.672438831,0.040498863,,0.232654279,0.076329567,0,0,0,0,0.521330818,0.45649895,0.02471211,0.059932211,0,0,1.030406385,0.046491756,0.027119173
176B18NO23,1H,Heated,1,69.5-80,-75,4.81,,0.005609312,0.011758617,0.056189012,0.118722264,0.042240899,0.023118265,0.051572964,0.00403304,0,0.02821333,0.00985597,0.039969118,0.109280652,0.039618293,0.028059215,0.067930641,0.03665503,0.012742711,0.066137936,0.050738419,0.773209367,0.019521154,0.25319899,0.020411733,,0.114597057,0.04993026,0,0,0,0,0.232635391,0.24866082,0.011530182,0.02342227,0,0,0.556318585,0.034546102,0.008634938
176B18NO24,1H,Heated,1,80-89.5,-85,4.73,,0.007241899,0.009311083,0.094723556,0.056529906,0.034221726,0.023481307,0.028243948,0,0.002056036,0.017973443,0.010036509,0.6772585,0.066673695,0.023934216,0.016367031,0.033802755,0.024902821,0.006561908,0.049721482,0.032785094,0.704303364,0.009657575,0.118408914,0.019865598,,1.012245639,0.206948212,0,0,0.049383723,0.049383723,2.94414847,1.526043934,0.069031011,0.102387954,0,0,4.054123676,0.210544583,0.014361347
176B18NO27,2C,Control,2,0-11,-5,,,0.356832116,0.232691241,2.573356446,3.92885553,2.306299915,1.318269466,1.936997756,0.466188979,0.432336281,4.527502058,1.447183304,22.15313393,3.087710818,0.777215005,1.344173654,3.277988779,0.704381166,3.263794173,8.409502904,7.450885335,12.0500362,0.73041273,3.919629018,0.945006371,,6.406559518,5.722877206,0,0,0,0,10.43570541,15.55846675,0.772601156,0.720156304,0.353344492,0,13.04862448,2.648184454,0.18016857
176B18NO28,2C,Control,2,11-19,-15,5.1,,0.127798584,0.052948196,0.396371617,1.279189985,0.761237998,0.316648727,0.688078399,0.161017052,0.084136268,1.0749204,0.585929955,5.454510715,0.926148029,0.305847017,0.515034731,1.050702004,0.165756476,0.992145961,2.517283815,2.473447275,1.881853916,0.312726448,1.942756101,0.246619533,,16.92399837,10.00559087,0,0,0.242319034,0.242319034,26.07341692,28.18146289,0.222642765,0.929784707,0.590149164,0,31.851249,1.570860683,0.20227204
